State,Population2010
Alabama,"4,779,736"
Alaska,"710,231"
Arizona,"6,392,017"
Arkansas,"2,915,918"
California,"37,253,956"
Colorado,"5,029,196"
Connecticut,"3,574,097"
Delaware,"897,934"
District of Columbia,"601,723"
Florida,"18,801,310"
Georgia,"9,687,653"
Hawaii,"1,360,301"
Idaho,"1,567,582"
Illinois,"12,830,632"
Indiana,"6,483,802"
Iowa,"3,046,355"
Kansas,"2,853,118"
Kentucky,"4,339,367"
Louisiana,"4,533,372"
Maine,"1,328,361"
Maryland,"5,773,552"
Massachusetts,"6,547,629"
Michigan,"9,883,640"
Minnesota,"5,303,925"
Mississippi,"2,967,297"
Missouri,"5,988,927"
Montana,"989,415"
Nebraska,"1,826,341"
Nevada,"2,700,551"
New Hampshire,"1,316,470"
New Jersey,"8,791,894"
New Mexico,"2,059,179"
New York,"19,378,102"
North Carolina,"9,535,483"
North Dakota,"672,591"
Ohio,"11,536,504"
Oklahoma,"3,751,351"
Oregon,"3,831,074"
Pennsylvania,"12,702,379"
Rhode Island,"1,052,567"
South Carolina,"4,625,364"
South Dakota,"814,180"
Tennessee,"6,346,105"
Texas,"25,145,561"
Utah,"2,763,885"
Vermont,"625,741"
Virginia,"8,001,024"
Washington,"6,724,540"
West Virginia,"1,852,994"
Wisconsin,"5,686,986"
Wyoming,"563,626"
